Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
1.00716355013213e+08	6.87371706695248e-01,-1.88003156169796e-01	1.37673297959976e-03,1.10101356534586e-02	-2.02420097014272e+01,3.57027861294098e+00	9.49867552294826e-01,-1.48420751812249e-01
1.00739548481125e+08	6.87357711788564e-01,-1.88044281447214e-01	1.37734145095177e-03,1.10125796085250e-02	-2.02417592952160e+01,3.57106213589260e+00	9.49856995914526e-01,-1.48453302749927e-01
1.00762747290145e+08	6.87343711122376e-01,-1.88085413519081e-01	1.37795017176669e-03,1.10150240691043e-02	-2.02415087880937e+01,3.57184578021754e+00	9.49846435266216e-01,-1.48485858357260e-01
1.00785951441503e+08	6.87329703941214e-01,-1.88126554889178e-01	1.37855917596642e-03,1.10174690277907e-02	-2.02412581630357e+01,3.57262960777105e+00	9.49835869682932e-01,-1.48518421620726e-01
1.00809160936429e+08	6.87315690690552e-01,-1.88167704056109e-01	1.37916844372992e-03,1.10199144890735e-02	-2.02410074300118e+01,3.57341358211765e+00	9.49825299551665e-01,-1.48550990811912e-01
1.00832375776155e+08	6.87301671465782e-01,-1.88208860505794e-01	1.37977797352280e-03,1.10223604534888e-02	-2.02407565899796e+01,3.57419770028160e+00	9.49814724864892e-01,-1.48583566242248e-01
1.00855595961910e+08	6.87287646055510e-01,-1.88250025270411e-01	1.38038776994086e-03,1.10248069199555e-02	-2.02405056403380e+01,3.57498197046542e+00	9.49804145600987e-01,-1.48616147498316e-01
1.00878821494927e+08	6.87273614359861e-01,-1.88291198323617e-01	1.38099784254787e-03,1.10272538866243e-02	-2.02402545766076e+01,3.57576640996886e+00	9.49793561500760e-01,-1.48648736255447e-01
1.00902052376435e+08	6.87259576748186e-01,-1.88332378690356e-01	1.38160817099798e-03,1.10297013579763e-02	-2.02400034087820e+01,3.57655098143010e+00	9.49782973017161e-01,-1.48681330088633e-01
1.00925288607668e+08	6.87245532694109e-01,-1.88373567854982e-01	1.38221878263287e-03,1.10321493281792e-02	-2.02397521233739e+01,3.57733573460719e+00	9.49772379561040e-01,-1.48713932012736e-01
