Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.01648271972209e+09	(-5.73152135186191e+00dB,-1.15189193677631e+02°)	(-2.34981051378759e+01dB,4.90623703327686e+01°)	(2.09975121040222e+01dB,1.10383203235440e+02°)	(-6.09203127722357e+00dB,-5.85955514051297e+01°)
1.01671680046637e+09	(-5.73201942971133e+00dB,-1.15205776473455e+02°)	(-2.34971970859059e+01dB,4.90594871688118e+01°)	(2.09960913193435e+01dB,1.10374387288018e+02°)	(-6.09369046781482e+00dB,-5.86019759048449e+01°)
1.01695093511594e+09	(-5.73251744457109e+00dB,-1.15222359946374e+02°)	(-2.34962891177999e+01dB,4.90566046387185e+01°)	(2.09946703270239e+01dB,1.10365571012522e+02°)	(-6.09534995228300e+00dB,-5.86084004333860e+01°)
1.01718512368321e+09	(-5.73301539221245e+00dB,-1.15238943911609e+02°)	(-2.34953812102981e+01dB,4.90537230923978e+01°)	(2.09932491502872e+01dB,1.10356754758855e+02°)	(-6.09700974011836e+00dB,-5.86148246280440e+01°)
1.01741936618060e+09	(-5.73351327665286e+00dB,-1.15255528542173e+02°)	(-2.34944733851742e+01dB,4.90508422000788e+01°)	(2.09918277673241e+01dB,1.10347938197238e+02°)	(-6.09866982225031e+00dB,-5.86212488323533e+01°)
1.01765366262053e+09	(-5.73401102469097e+00dB,-1.15272113792807e+02°)	(-2.34935656202970e+01dB,4.90479623913814e+01°)	(2.09904062002295e+01dB,1.10339121757283e+02°)	(-6.10033026462550e+00dB,-5.86276719332196e+01°)
1.01788801301542e+09	(-5.73450870519158e+00dB,-1.15288699518296e+02°)	(-2.34926579138058e+01dB,4.90450835964874e+01°)	(2.09889844508283e+01dB,1.10330305369167e+02°)	(-6.10199101106733e+00dB,-5.86340946716357e+01°)
1.01812241737769e+09	(-5.73500635459600e+00dB,-1.15305285732653e+02°)	(-2.34917502756607e+01dB,4.90422056156457e+01°)	(2.09875625091245e+01dB,1.10321488833131e+02°)	(-6.10365202892807e+00dB,-5.86405175898824e+01°)
1.01835687571978e+09	(-5.73550387140943e+00dB,-1.15321872727853e+02°)	(-2.34908427180449e+01dB,4.90393284087707e+01°)	(2.09861403628989e+01dB,1.10312672109082e+02°)	(-6.10531339842514e+00dB,-5.86469397289680e+01°)
1.01859138805411e+09	(-5.73600135691350e+00dB,-1.15338460200299e+02°)	(-2.34899352272927e+01dB,4.90364520360133e+01°)	(2.09847180257814e+01dB,1.10303855257164e+02°)	(-6.10697503976853e+00dB,-5.86533620287900e+01°)
